OutletPressure,Flow,OutletPressure,Flow,OutletPressure,Flow,OutletPressure,Flow,OutletPressure,Flow,OutletPressure,Flow,OutletPressure,Flow,OutletPressure,Flow,OutletPressure,Flow,OutletPressure,Flow
20psia,20psia,40psia,40psia,60psia,60psia,80psia,80psia,100psia,100psia,120psia,120psia,140psia,140psia,160psia,160psia,180psia,180psia,200psia,200psia
1.4084956944993614,9.82469309249933,2.2320042538852753,19.674304299612302,2.0673025420080933,29.308843111298756,2.3967059657624574,38.9526908081494,2.3967059657624574,48.70398401756442,1.7378991182537256,58.13438291093152,2.3967059657624574,67.56362802698249,1.7378991182537256,77.31549812505557,1.5731974063765435,87.2276711589881,2.7261093895168216,96.60290507442787
3.3849162370255534,9.805102915152574,6.3260182348323895,19.660977797008,3.714319660779921,29.307400889653593,3.8790213726571032,38.95139280866876,3.8790213726571032,48.70268601808378,3.5496179489027355,58.13279646712185,3.8790213726571032,67.56233002750184,3.5496179489027355,77.3139116812459,3.3849162370255534,87.06534911282543,7.50245903395512,96.5987226316569
6.678950474569209,9.784358960489698,9.23182700866554,19.658433305962603,6.678950474569209,29.30480489069231,6.678950474569209,38.948941031871996,6.678950474569209,48.70023424128702,6.678950474569209,58.130056245996045,6.678950474569209,67.55987825070507,6.678950474569209,77.3111714601201,6.678950474569209,87.0624646695351,11.496475546976804,96.59522524416738
8.655371017095401,9.782628294515504,12.937615525902153,19.655188307261,8.655371017095401,29.303074224718117,8.655371017095401,38.9472103658978,8.655371017095401,48.69850357531283,8.655371017095401,58.217623136884626,8.655371017095401,67.55814758473088,8.655371017095401,77.3094407941459,8.655371017095401,87.06073400356092,14.625808072643274,96.59248502304159
11.62000183088469,9.708594250064024,17.38456174658608,19.651294308819075,11.62000183088469,29.300478225756834,11.62000183088469,38.94461436693652,11.62000183088469,48.695907576351544,11.62000183088469,58.12572958106057,11.62000183088469,67.55555158576959,11.62000183088469,77.30684479518462,11.62000183088469,87.05813800459964,18.043368594094815,96.58949241312789
13.596422373410881,9.456830424874042,21.378578259607764,19.634402287800143,13.596422373410881,29.29874755978264,13.596422373410881,38.94288370096233,13.596422373410881,48.69417691037735,13.596422373410881,58.123998915086375,13.596422373410881,67.55382091979541,13.596422373410881,77.30511412921044,13.596422373410881,87.05640733862545,22.325613102901563,96.58574263685047
16.2316497634458,8.079340494555055,24.349091277392667,19.30841641426565,16.561053187200166,29.296151560821357,16.561053187200166,38.940287702001044,16.561053187200166,48.69158091141607,16.561053187200166,58.12140291612509,16.561053187200166,67.55122492083412,16.561053187200166,77.30251813024914,16.561053187200166,87.05381133966415,26.419627083848674,96.58215768590392
17.38456174658608,7.221074393520809,27.76076959484859,18.445621050493386,18.537473729726358,29.294420894847164,18.537473729726358,38.93855703602685,18.537473729726358,48.689850245441875,18.537473729726358,58.20896980701367,18.537473729726358,67.54949425485992,18.537473729726358,77.30078746427495,18.537473729726358,87.05208067368997,29.448962141589718,96.57950502823516
18.537473729726358,5.612708814839252,32.12536495959393,16.02183537215251,21.50210454351565,29.291824895885867,21.50210454351565,38.93596103706555,21.50210454351565,48.68725424648058,21.50210454351565,58.206373808052376,21.50210454351565,67.54689825589864,21.50210454351565,77.29819146531366,21.50210454351565,87.04948467472869,32.86652266304125,96.57651241832144
19.196280577235093,3.3082549591215837,34.62334092306454,14.099750530107698,23.47852508604184,29.290094229911688,23.47852508604184,38.934230371091374,23.47852508604184,48.6855235805064,23.47852508604184,58.11534558521542,23.47852508604184,67.54516758992445,23.47852508604184,77.29646079933947,23.47852508604184,87.04775400875448,37.47817059560237,96.572474197715
19.360982289112272,1.5400191110741304,36.81936374809364,11.083142048226875,26.772559323585497,29.28720978662136,26.772559323585497,38.93134592780105,26.772559323585497,48.68263913721607,26.772559323585497,58.112461141925095,26.772559323585497,67.54228314663413,26.772559323585497,77.29357635604916,26.772559323585497,87.04486956546418,41.472187108624055,96.5689768102255
,,38.301679154988285,8.488642997451237,28.584278154234504,29.28562334281169,28.584278154234504,38.929759483991376,28.584278154234504,48.6810526934064,28.584278154234504,58.110874698115424,28.584278154234504,67.54069670282445,28.584278154234504,77.29198991223947,28.584278154234504,87.0432831216545,44.601519634290526,96.56623658909969
,,39.94869627376011,0.4504206581563466,31.38420725614661,29.283171566014914,31.38420725614661,38.9273077071946,31.38420725614661,48.678600916609625,31.38420725614661,58.10842292131865,31.38420725614661,67.53824492602769,31.38420725614661,77.28953813544271,31.38420725614661,87.04083134485774,48.01908015574206,96.56324397918598
,,39.23498885562566,5.48232511039474,33.3606277986728,29.192143343177932,33.3606277986728,38.92557704122041,33.3606277986728,48.67687025063543,33.3606277986728,58.106692255344456,33.3606277986728,67.5365142600535,33.3606277986728,77.28780746946852,33.3606277986728,87.03910067888353,52.301324664548815,96.55949420290857
,,39.45459113812856,3.1297800305331265,36.65466203621646,28.81420916106397,36.65466203621646,38.922692597930094,36.65466203621646,48.67398580734512,36.65466203621646,58.10380781205414,36.65466203621646,67.53362981676318,36.65466203621646,77.2849230261782,36.65466203621646,87.03621623559322,56.1718148936626,96.55610498204246
,,,,38.301679154988285,28.66096109275209,38.63108257874265,38.9209619319559,38.63108257874265,48.672255141370925,38.63108257874265,58.10207714607995,38.63108257874265,67.53189915078899,38.63108257874265,77.28319236020401,38.63108257874265,87.03448556961902,59.26585419535539,96.55339566566619
